id_str,label,word,pred,pre.x.score,pre.y.score,pre.text,post.x.score,post.y.score,post.text
692157633076290000,en,devil,es,23.2235294118,27.8,devil,12.3011363636,13.1448863636,devil grass
692157633076290000,en,grass,en,12.3011363636,13.1448863636,devil grass,21.3660714286,20.6785714286,grass  
739225528092250000,es,de,es,6.3125,44.1875,de,12.7551020408,17.1768707483,de pisa
739225528092250000,es,pisa,es,12.7551020408,17.1768707483,de pisa,20.3333333333,22.9259259259,pisa y
739225528092250000,es,y,es,20.3333333333,22.9259259259,pisa y,15.0857142857,16.6357142857,y corre
739225528092250000,es,corre,es,15.0857142857,16.6357142857,y corre,15.3839285714,15.1607142857,corre  
707034426606277000,unk,buhbuhs,en,27.3193277311,26.0336134454,buhbuhs,18.9863636364,17.0181818182,buhbuhs be
707034426606277000,en,be,en,18.9863636364,17.0181818182,buhbuhs be,24.7293233083,20.2781954887,be like
707034426606277000,en,like,en,24.7293233083,20.2781954887,be like,15.109375,15.9479166667,like por
707034426606277000,es,por,es,15.109375,15.9479166667,like por,16.9183673469,25.8571428571,por qué
707034426606277000,es,qué,es,16.9183673469,25.8571428571,por qué,11.7692307692,18.9401709402,qué estas
707034426606277000,es,estas,es,11.7692307692,18.9401709402,qué estas,8.494047619,11.3005952381,estas perras
707034426606277000,es,perras,es,8.494047619,11.3005952381,estas perras,8.2857142857,8.6556776557,perras tomando
707034426606277000,es,tomando,es,8.2857142857,8.6556776557,perras tomando,10.2440318302,10.1087533156,tomando tanto
707034426606277000,es,tanto,es,10.2440318302,10.1087533156,tomando tanto,10.9650537634,11.4758064516,tanto tiempo
707034426606277000,es,tiempo,es,10.9650537634,11.4758064516,tanto tiempo,10.0586510264,13.0351906158,tiempo para
707034426606277000,es,para,es,10.0586510264,13.0351906158,tiempo para,13.25,19.8142857143,para mi
707034426606277000,es,mi,es,13.25,19.8142857143,para mi,15.6344827586,16.4793103448,mi cerveza
707034426606277000,es,cerveza,es,15.6344827586,16.4793103448,mi cerveza,17.8636363636,18.5606060606,cerveza  
740742626425614000,es,como,es,27.1730769231,30.1153846154,como,13.35,15.4785714286,como se
740742626425614000,es,se,es,13.35,15.4785714286,como se,20.5158730159,21.6984126984,se vive
740742626425614000,es,vive,es,20.5158730159,21.6984126984,se vive,17.2105263158,22.8496240602,vive el
740742626425614000,es,el,es,17.2105263158,22.8496240602,vive el,12.1847826087,15.9673913043,el medio
740742626425614000,es,medio,es,12.1847826087,15.9673913043,el medio,12.4327956989,12.688172043,medio tiempo
740742626425614000,es,tiempo,es,12.4327956989,12.688172043,medio tiempo,12.0256410256,14.9358974359,tiempo en
740742626425614000,es,en,es,12.0256410256,14.9358974359,tiempo en,5.5230769231,23.2153846154,en el
740742626425614000,es,el,es,5.5230769231,23.2153846154,en el,7.6428571429,13.1428571429,el estadio
740742626425614000,es,estadio,es,7.6428571429,13.1428571429,el estadio,7.3,12.7142857143,estadio de
740742626425614000,es,de,es,7.3,12.7142857143,estadio de,11.1548821549,13.2121212121,de glendale
740742626425614000,unk,glendale,en,11.1548821549,13.2121212121,de glendale,9,9.8229166667,glendale arizona
740742626425614000,unk,arizona,es,9,9.8229166667,glendale arizona,14.6212121212,17.2424242424,arizona  
736455685324440000,es,mi,es,65.625,70.875,mi,21.7232142857,23.6875,mi mama
736455685324440000,es,mama,en,21.7232142857,23.6875,mi mama,15.7453703704,18.0740740741,mama dijo
736455685324440000,es,dijo,es,15.7453703704,18.0740740741,mama dijo,13.1145833333,23.1145833333,dijo que
736455685324440000,es,que,es,13.1145833333,23.1145833333,dijo que,15.3518518519,29.2962962963,que si
736455685324440000,es,si,es,15.3518518519,29.2962962963,que si,23.68,26.24,si no
736455685324440000,es,no,es,23.68,26.24,si no,12.3255131965,13.6715542522,no consegui
736455685324440000,es,consegui,es,12.3255131965,13.6715542522,no consegui,6.4837092732,7.4248120301,consegui seguidores
736455685324440000,es,seguidores,es,6.4837092732,7.4248120301,consegui seguidores,9.1730769231,10.5085470085,seguidores me
736455685324440000,es,me,en,9.1730769231,10.5085470085,seguidores me,20.2993197279,18.8639455782,me hiba
736455685324440000,es,hiba,es,20.2993197279,18.8639455782,me hiba,14.6931034483,15.1896551724,hiba pegar
736455685324440000,es,pegar,es,14.6931034483,15.1896551724,hiba pegar,11.1085043988,13.3196480938,pegar hacia
736455685324440000,es,hacia,es,11.1085043988,13.3196480938,pegar hacia,9.9658119658,18.2863247863,hacia que
736455685324440000,es,que,es,9.9658119658,18.2863247863,hacia que,7.1360544218,24.074829932,que los
736455685324440000,es,los,es,7.1360544218,24.074829932,que los,13.2159090909,19.0170454545,los sigo
736455685324440000,es,sigo,es,13.2159090909,19.0170454545,los sigo,22.6428571429,22.8839285714,sigo si
736455685324440000,es,si,es,22.6428571429,22.8839285714,sigo si,24.44,24.3466666667,si me
736455685324440000,en,me,en,24.44,24.3466666667,si me,13.7644444444,15.1377777778,me sigues
736455685324440000,es,sigues,es,13.7644444444,15.1377777778,me sigues,15.4802631579,17.5526315789,sigues  
703950543056560000,es,os,es,35.4375,53.75,os,13.5260416667,14.1015625,os imagináis
703950543056560000,es,imagináis,en,13.5260416667,14.1015625,os imagináis,13.1590909091,13.8787878788,imagináis un
703950543056560000,es,un,es,13.1590909091,13.8787878788,imagináis un,14.7478632479,18.2564102564,un pueblo
703950543056560000,es,pueblo,es,14.7478632479,18.2564102564,un pueblo,10.8838383838,13.5328282828,pueblo donde
703950543056560000,es,donde,es,10.8838383838,13.5328282828,pueblo donde,12.16,14.9511111111,donde sus
703950543056560000,es,sus,es,12.16,14.9511111111,donde sus,14.7851851852,16.8962962963,sus únicos
703950543056560000,es,únicos,es,14.7851851852,16.8962962963,sus únicos,8.1333333333,9.0039215686,únicos habitantes
703950543056560000,es,habitantes,es,8.1333333333,9.0039215686,únicos habitantes,7.6810457516,8.0849673203,habitantes fueran
703950543056560000,es,fueran,es,7.6810457516,8.0849673203,habitantes fueran,10.3675213675,11.4465811966,fueran burros
703950543056560000,es,burros,es,10.3675213675,11.4465811966,fueran burros,10.1966666667,10.98,burros salvajes
703950543056560000,es,salvajes,es,10.1966666667,10.98,burros salvajes,11.7668269231,12.7884615385,salvajes pues
703950543056560000,es,pues,es,11.7668269231,12.7884615385,salvajes pues,13.0125,17.575,pues ese
703950543056560000,es,ese,es,13.0125,17.575,pues ese,13.0035714286,15.9464285714,ese pueblo
703950543056560000,es,pueblo,es,13.0035714286,15.9464285714,ese pueblo,18.08125,20.85,pueblo  
701855647743287000,unk,tlaquepaque,es,12.5629370629,16.8286713287,tlaquepaque,10.1784313725,12.5980392157,tlaquepaque amp
701855647743287000,unk,amp,en,10.1784313725,12.5980392157,tlaquepaque amp,22.537414966,11.8639455782,amp the
701855647743287000,en,the,en,22.537414966,11.8639455782,amp the,18.7857142857,10.0928571429,the beauty
701855647743287000,en,beauty,en,18.7857142857,10.0928571429,the beauty,20.9094650206,13.0534979424,beauty of
701855647743287000,en,of,en,20.9094650206,13.0534979424,beauty of,15.4035714286,13.525,of arizona
701855647743287000,unk,arizona,es,15.4035714286,13.525,of arizona,14.6212121212,17.2424242424,arizona  
714465211332305000,es,éste,es,35.25,39.5,éste,16.3533834586,20.9248120301,éste es
714465211332305000,es,es,es,16.3533834586,20.9248120301,éste es,10.9066666667,20.4533333333,es un
714465211332305000,es,un,es,10.9066666667,20.4533333333,es un,12.4892857143,15.7178571429,un poquito
714465211332305000,es,poquito,es,12.4892857143,15.7178571429,un poquito,13.2613636364,15.2471590909,poquito más
714465211332305000,es,más,es,13.2613636364,15.2471590909,poquito más,13.2433333333,14.0633333333,más grande
714465211332305000,es,grande,es,13.2433333333,14.0633333333,más grande,14.125,14.55625,grande  
752363881163477000,es,a,en,35.4,42.8,a,25.2291666667,27.9166666667,a mi
752363881163477000,es,mi,es,25.2291666667,27.9166666667,a mi,20.8928571429,20.2642857143,mi edad
752363881163477000,es,edad,es,20.8928571429,20.2642857143,mi edad,21.3642857143,21.3357142857,edad yo
752363881163477000,es,yo,es,21.3642857143,21.3357142857,edad yo,20.8068181818,20.8181818182,yo busco
752363881163477000,es,busco,es,20.8068181818,20.8181818182,yo busco,10.9898785425,11.6012145749,busco alguien
752363881163477000,es,alguien,es,10.9898785425,11.6012145749,busco alguien,9.8123167155,15.8005865103,alguien que
752363881163477000,es,que,es,9.8123167155,15.8005865103,alguien que,14.28125,29.9791666667,que me
752363881163477000,es,me,en,14.28125,29.9791666667,que me,19.0340909091,18.9375,me apoye
752363881163477000,es,apoye,es,19.0340909091,18.9375,me apoye,15,17.7282608696,apoye en
752363881163477000,es,en,es,15,17.7282608696,apoye en,12.5462962963,16.6296296296,en mis
752363881163477000,es,mis,es,12.5462962963,16.6296296296,en mis,13.8888888889,13.884057971,mis metas
752363881163477000,es,metas,es,13.8888888889,13.884057971,mis metas,8.4214285714,12.3214285714,metas porque
752363881163477000,es,porque,es,8.4214285714,12.3214285714,metas porque,9.0757575758,13.4065656566,porque besos
752363881163477000,es,besos,es,9.0757575758,13.4065656566,porque besos,16.5142857143,19.2642857143,besos y
752363881163477000,es,y,es,16.5142857143,19.2642857143,besos y,17.8285714286,19.1,y fotos
752363881163477000,es,fotos,es,17.8285714286,19.1,y fotos,8.6583333333,10.1833333333,fotos cualquiera
752363881163477000,es,cualquiera,es,8.6583333333,10.1833333333,fotos cualquiera,8.6555232558,11.0014534884,cualquiera puede
752363881163477000,es,puede,es,8.6555232558,11.0014534884,cualquiera puede,16.7678571429,20.4910714286,puede  
730562595887796000,es,no,es,45.625,57.5625,no,9.3501683502,13.2693602694,no entiendo
730562595887796000,es,entiendo,es,9.3501683502,13.2693602694,no entiendo,9.3,13.5565217391,entiendo  
712169014294762000,en,vs,en,71.5,78.875,vs,17.6956521739,19.0108695652,vs combo
712169014294762000,en,combo,es,17.6956521739,19.0108695652,vs combo,19.0892857143,20.2232142857,combo  
716345840118403000,en,i'm,en,51.7037037037,44.5185185185,i'm,26,18.1770833333,i'm at
716345840118403000,en,at,en,26,18.1770833333,i'm at,21.3431372549,13.3137254902,at san
716345840118403000,unk,san,es,21.3431372549,13.3137254902,at san,16.402173913,14.6358695652,san luis
716345840118403000,unk,luis,es,16.402173913,14.6358695652,san luis,16.9456521739,16.9293478261,luis rio
716345840118403000,unk,rio,es,16.9456521739,16.9293478261,luis rio,8.8870967742,12.0134408602,rio colorado
716345840118403000,unk,colorado,es,8.8870967742,12.0134408602,rio colorado,7.1518518519,9.787037037,colorado sonora
716345840118403000,unk,sonora,es,7.1518518519,9.787037037,colorado sonora,10.2681912682,11.3222453222,sonora mexico
716345840118403000,unk,mexico,en,10.2681912682,11.3222453222,sonora mexico,15.4658119658,14.0854700855,mexico in
716345840118403000,en,in,en,15.4658119658,14.0854700855,mexico in,18.15625,10.8541666667,in san
716345840118403000,unk,san,es,18.15625,10.8541666667,in san,16.402173913,14.6358695652,san luis
716345840118403000,unk,luis,es,16.402173913,14.6358695652,san luis,22.3401360544,23.1632653061,luis az
716345840118403000,unk,az,es,22.3401360544,23.1632653061,luis az,41.96875,47.46875,az  
740975331826229000,es,acá,es,53.8484848485,60.5151515152,acá,17.0833333333,24.8888888889,acá de
740975331826229000,es,de,es,17.0833333333,24.8888888889,acá de,12.3222222222,11.5925925926,de metiche
740975331826229000,es,metiche,es,12.3222222222,11.5925925926,de metiche,10.5280665281,9.1600831601,metiche nomas
740975331826229000,es,nomas,es,10.5280665281,9.1600831601,metiche nomas,12.4398826979,12.5219941349,nomas vengo
740975331826229000,es,vengo,es,12.4398826979,12.5219941349,nomas vengo,18.306122449,17.693877551,vengo a
740975331826229000,es,a,en,18.306122449,17.693877551,vengo a,15.6477272727,14.625,a checar
740975331826229000,es,checar,es,15.6477272727,14.625,a checar,15.6324786325,14.7094017094,checar si
740975331826229000,es,si,es,15.6324786325,14.7094017094,checar si,19.9319727891,17.1224489796,si hace
740975331826229000,es,hace,es,19.9319727891,17.1224489796,si hace,18.6770833333,17.4010416667,hace más
740975331826229000,es,más,es,18.6770833333,17.4010416667,hace más,13.5390946502,15.4938271605,más calor
740975331826229000,es,calor,es,13.5390946502,15.4938271605,más calor,8.7901234568,16.4197530864,calor que
740975331826229000,es,que,es,8.7901234568,16.4197530864,calor que,7.6862745098,27.5490196078,que en
740975331826229000,es,en,es,7.6862745098,27.5490196078,que en,16.4266666667,24.4533333333,en mi
740975331826229000,es,mi,es,16.4266666667,24.4533333333,en mi,14.6,16.2888888889,mi tierra
740975331826229000,es,tierra,es,14.6,16.2888888889,mi tierra,15.0263157895,16.9013157895,tierra  
698957568069104000,es,él,es,90.125,99.125,él,24.6923076923,37.6461538462,él el
698957568069104000,es,el,es,24.6923076923,37.6461538462,él el,12.3212121212,15.2848484848,el culpable
698957568069104000,es,culpable,es,12.3212121212,15.2848484848,el culpable,12.0575757576,14.5878787879,culpable de
